Timestamp	Tempo	Dados	Recebidos	da	Porta	Serial	Temperatura						
21/01/2025	14:55:52	-											
21/01/2025	14:55:52	-	MEGA	|	DS18B20	inicializando...							
21/01/2025	14:55:52	-	MEGA	|	Endere?	do	sensor:	28FF5BB40D000022					
21/01/2025	14:55:52	-	MEGA	|	Mega	transmitindo	dados	para	ESP8266.				
21/01/2025	14:55:52	-											
21/01/2025	14:55:53	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:55:53	-											
21/01/2025	14:55:53	-	MEGA	|									
21/01/2025	14:55:53	-											
21/01/2025	14:55:53	-	ESP	|	ESP8266	inicializando...							
21/01/2025	14:55:58	-	ESP	|	Conectando	ao	WiFi	......MEGA	|	Temperatura	=	298.15	K
21/01/2025	14:55:58	-											
21/01/2025	14:56:00	-	MEGA	|	...								
21/01/2025	14:56:00	-	ESP	|	IP:	192.168.0.100							
21/01/2025	14:56:00	-	298.09	K									
21/01/2025	14:56:00	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:00	-											
21/01/2025	14:56:00	-	298.15	K									
21/01/2025	14:56:01	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:56:01	-											
21/01/2025	14:56:02	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	81735	
21/01/2025	14:56:03	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:03	-											
21/01/2025	14:56:03	-	MEGA	|	298.09	K							
21/01/2025	14:56:03	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:03	-											
21/01/2025	14:56:08	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:08	-											
21/01/2025	14:56:08	-	MEGA	|	298.09	K							
21/01/2025	14:56:08	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:08	-											
21/01/2025	14:56:13	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:13	-											
21/01/2025	14:56:13	-	MEGA	|	298.09	K							
21/01/2025	14:56:13	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:13	-											
21/01/2025	14:56:18	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:18	-											
21/01/2025	14:56:18	-	MEGA	|	298.09	K							
21/01/2025	14:56:18	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:18	-											
21/01/2025	14:56:23	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:23	-											
21/01/2025	14:56:23	-	MEGA	|	298.09	K							
21/01/2025	14:56:23	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:23	-											
21/01/2025	14:56:28	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:28	-											
21/01/2025	14:56:28	-	MEGA	|	298.09	K							
21/01/2025	14:56:28	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:28	-											
21/01/2025	14:56:33	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:33	-											
21/01/2025	14:56:33	-	MEGA	|	298.09	K							
21/01/2025	14:56:33	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:33	-											
21/01/2025	14:56:38	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:56:38	-											
21/01/2025	14:56:38	-	MEGA	|	298.15	K							
21/01/2025	14:56:38	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:56:38	-											
21/01/2025	14:56:43	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:56:43	-											
21/01/2025	14:56:43	-	MEGA	|	298.15	K							
21/01/2025	14:56:43	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:56:43	-											
21/01/2025	14:56:45	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	91735	
21/01/2025	14:56:48	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:48	-											
21/01/2025	14:56:48	-	MEGA	|	298.09	K							
21/01/2025	14:56:48	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:48	-											
21/01/2025	14:56:48	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	41737	
21/01/2025	14:56:53	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:53	-											
21/01/2025	14:56:53	-	MEGA	|	298.09	K							
21/01/2025	14:56:53	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:53	-											
21/01/2025	14:56:58	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:56:58	-											
21/01/2025	14:56:58	-	MEGA	|	298.09	K							
21/01/2025	14:56:58	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:56:58	-											
21/01/2025	14:57:03	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:03	-											
21/01/2025	14:57:03	-	MEGA	|	298.15	K							
21/01/2025	14:57:03	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:03	-											
21/01/2025	14:57:08	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:57:08	-											
21/01/2025	14:57:08	-	MEGA	|	298.09	K							
21/01/2025	14:57:08	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:57:08	-											
21/01/2025	14:57:13	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:13	-											
21/01/2025	14:57:13	-	MEGA	|	298.15	K							
21/01/2025	14:57:13	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:13	-											
21/01/2025	14:57:18	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:18	-											
21/01/2025	14:57:18	-	MEGA	|	298.15	K							
21/01/2025	14:57:18	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:18	-											
21/01/2025	14:57:23	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:23	-											
21/01/2025	14:57:23	-	MEGA	|	298.15	K							
21/01/2025	14:57:23	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:23	-											
21/01/2025	14:57:23	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	76735	
21/01/2025	14:57:23	-	ESP	|	Cliente	reconectado!	?ltimo	ID	de	mensagem	recebido:	76735	
21/01/2025	14:57:28	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:57:28	-											
21/01/2025	14:57:28	-	MEGA	|	298.09	K							
21/01/2025	14:57:28	-	ESP	|	Temperatura	=	298,09	K					
21/01/2025	14:57:28	-											
21/01/2025	14:57:33	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:33	-											
21/01/2025	14:57:33	-	MEGA	|	298.15	K							
21/01/2025	14:57:33	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:33	-											
21/01/2025	14:57:38	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:38	-											
21/01/2025	14:57:38	-	MEGA	|	298.15	K							
21/01/2025	14:57:38	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:38	-											
21/01/2025	14:57:43	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:43	-											
21/01/2025	14:57:43	-	MEGA	|	298.15	K							
21/01/2025	14:57:43	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:43	-											
21/01/2025	14:57:48	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:48	-											
21/01/2025	14:57:48	-	MEGA	|	298.15	K							
21/01/2025	14:57:48	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:48	-											
21/01/2025	14:57:53	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:53	-											
21/01/2025	14:57:53	-	MEGA	|	298.15	K							
21/01/2025	14:57:53	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:53	-											
21/01/2025	14:57:58	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:57:58	-											
21/01/2025	14:57:58	-	MEGA	|	298.15	K							
21/01/2025	14:57:58	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:57:58	-											
21/01/2025	14:58:03	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:03	-											
21/01/2025	14:58:03	-	MEGA	|	298.15	K							
21/01/2025	14:58:03	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:03	-											
21/01/2025	14:58:08	-	MEGA	|	Temperatura	=	298.15	K					
21/01/2025	14:58:08	-											
21/01/2025	14:58:08	-	MEGA	|	298.15	K							
21/01/2025	14:58:08	-	ESP	|	Temperatura	=	298,15	K					
21/01/2025	14:58:08	-											
21/01/2025	14:58:13	-	MEGA	|	Temperatura	=	298.09	K					
21/01/2025	14:58:13	-											
21/01/2025	14:58:13	-	MEGA	|	298.09	K							
